timestamp,seq,rtt,delay,jitter,predicted_prob,prediction
1776183067.094016,376,32924.441,61.080,3.088,0.0020,0
1776183067.153909,377,32928.659,59.893,1.187,0.0020,0
1776183067.366672,378,33081.850,212.764,152.870,0.0020,1
1776183067.565365,379,33229.090,198.693,14.071,0.0020,0
1776183067.925969,380,33534.640,360.604,161.911,0.0020,1
1776183068.125984,381,33704.809,200.015,160.589,0.0020,1
1776183068.329552,382,33887.225,203.569,3.554,0.0020,0
1776183068.618757,383,34145.489,289.205,85.636,0.0020,0
1776183068.968449,384,34474.327,349.692,60.487,0.0020,0
1776183069.193680,385,34676.932,225.230,124.461,0.0020,1
1776183069.345335,386,34796.741,151.655,73.575,0.0020,0
1776183069.635724,387,35053.431,290.390,138.735,0.0020,1
1776183069.667341,388,35050.705,31.617,258.772,0.0020,1
1776183069.695704,389,35052.367,28.362,3.255,0.0020,0
1776183069.723185,390,35048.277,27.481,0.881,0.0020,0
1776183069.778299,391,35067.893,55.115,27.634,0.0020,0
1776183069.820657,392,35086.073,42.358,12.757,0.0020,0
1776183069.855555,393,35089.925,34.898,7.460,0.0020,0
1776183069.897986,395,35068.169,42.432,7.534,0.0020,0
1776183070.031422,396,35169.652,133.436,91.004,0.0020,0
1776183070.216858,397,35326.127,185.436,52.000,0.0020,0
1776183070.379560,398,35459.527,162.702,22.734,0.0020,0
1776183070.492208,399,35536.727,112.648,50.054,0.0020,0
1776183070.723330,400,35736.272,231.122,118.474,0.0020,1
1776183070.863660,401,35855.968,140.330,90.792,0.0020,0
1776183071.035385,402,36007.084,171.725,31.395,0.0020,0
1776183071.263830,403,36213.647,228.446,56.721,0.0020,0
1776183071.500324,404,36418.107,236.493,8.048,0.0020,0
1776183071.556269,405,36448.817,55.946,180.547,0.0020,1
1776183071.817533,406,36686.617,261.264,205.318,0.0020,1
1776183071.992682,407,36837.664,175.148,86.116,0.0020,0
1776183072.188167,408,37001.945,195.485,20.336,0.0020,0
1776183072.454198,409,37242.347,266.032,70.547,0.0020,0
1776183072.698109,410,37454.940,243.911,22.121,0.0020,0
1776183072.846722,411,37572.737,148.612,95.299,0.0020,0
1776183072.916120,412,37610.490,69.398,79.214,0.0020,0
1776183072.978933,413,37642.003,62.814,6.585,0.0020,0
1776183073.013643,414,37645.595,34.710,28.104,0.0020,0
1776183073.082652,415,37662.602,69.009,34.299,0.0020,0
1776183073.115079,417,37574.425,32.427,36.582,0.0020,0
1776183073.149348,418,37545.806,34.268,1.841,0.0020,0
1776183073.184500,419,37528.341,35.152,0.884,0.0020,0
1776183073.246311,420,37539.267,61.812,26.660,0.0020,0
1776183073.313704,421,37550.980,67.393,5.581,0.0020,0
1776183073.473459,422,37659.935,159.755,92.362,0.0020,0
1776183073.782759,423,37906.682,309.300,149.545,0.0020,1
1776183074.018640,424,38078.087,235.880,73.419,0.0020,0
1776183074.153991,425,38156.245,135.352,100.529,0.0020,1
1776183074.250573,426,38190.135,96.581,38.770,0.0020,0
1776183074.419972,427,38308.239,169.399,72.818,0.0020,0
1776183074.483026,428,38350.082,63.054,106.346,0.0020,1
1776183074.516524,429,38363.162,33.498,29.556,0.0020,0
1776183074.555926,430,38370.901,39.402,5.903,0.0020,0
1776183074.593119,431,38381.066,37.194,2.208,0.0020,0
1776183074.636408,432,38393.193,43.288,6.095,0.0020,0
1776183074.690910,433,38417.271,54.502,11.214,0.0020,0
1776183074.724657,434,38416.008,33.747,20.755,0.0020,0
1776183074.773162,435,38443.320,48.505,14.757,0.0020,0
1776183074.821759,436,38460.103,48.598,0.093,0.0020,0
1776183074.893315,437,38467.864,71.555,22.958,0.0020,0
1776183074.953619,438,38490.180,60.304,11.251,0.0020,0
1776183075.012935,439,38528.387,59.316,0.989,0.0020,0
1776183075.050921,440,38536.450,37.986,21.330,0.0020,0
1776183075.113539,441,38578.656,62.618,24.632,0.0020,0
1776183075.172508,442,38616.778,58.969,3.649,0.0020,0
1776183075.236280,443,38659.156,63.772,4.803,0.0020,0
1776183075.290502,444,38683.959,54.222,9.550,0.0020,0
